Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Hour_of_day,Is_night,Is_rush_hour,Is_weekend
Tuesday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Governmental,Unknown,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,15,0,0,0
Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Going straight,Not a Pedestrian,Overtaking,9,0,1,0
Sunday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Overtaking,13,0,0,1
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Other,Governmental,1-2yr,No defect,Church areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Moving Backward,1,1,0,1
Friday,Unknown,Female,Elementary school,Other,5-10yr,Automobile,Owner,5-10yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,3,2,Going straight,Not a Pedestrian,Driving carelessly,11,0,0,0
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,3,2,Moving Backward,Not a Pedestrian,Changing lane to the right,15,0,0,1
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Governmental,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,Overtaking,9,0,1,0
Sunday,Unknown,Male,Writing & reading,Employee,Below 1yr,Other,Unknown,2-5yrs,Unknown,Hospital areas,One way,Unknown,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Moving Backward,22,1,0,1
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Not a Pedestrian,Changing lane to the right,10,0,0,0
Sunday,18-30,Male,Junior high school,Owner,1-2yr,Pick up upto 10Q,Unknown,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,4,2,Going straight,Not a Pedestrian,Changing lane to the right,14,0,0,1
Saturday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Reversing,Unknown or other,Driving carelessly,16,0,0,1
Tuesday,Unknown,Male,Elementary school,Unknown,Unknown,Other,Owner,Unknown,7,Outside rural areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,8,0,1,0
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,Unknown,Residential areas,Unknown,Tangent road with flat terrain,No junction,Other,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Changing lane to the right,17,0,1,0
Monday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,0,1,0,0
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Below 1yr,No defect,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Unknown,Not a Pedestrian,Changing lane to the right,15,0,0,1
Saturday,Under 18,Male,Unknown,Employee,Below 1yr,Stationwagen,Governmental,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,No distancing,23,1,0,1
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Other,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,2,Going straight,Not a Pedestrian,Driving carelessly,20,1,0,0
Tuesday,18-30,Male,Writing & reading,Owner,5-10yr,Motorcycle,Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Overtaking,17,0,1,0
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Governmental,2-5yrs,Unknown,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,11,0,0,1
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Unknown,Organization,Unknown,Unknown,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Not a Pedestrian,No distancing,8,0,1,0
Thursday,Unknown,Female,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Other,15,0,0,0
Wednesday,31-50,Male,Above high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,8,0,1,0
Sunday,18-30,Male,Above high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Unknown,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Going straight,Not a Pedestrian,Driving carelessly,3,1,0,1
Friday,31-50,Male,Above high school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Not a Pedestrian,Turnover,19,0,1,0
Sunday,Over 51,Male,Elementary school,Owner,5-10yr,Pick up upto 10Q,Owner,2-5yrs,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,No distancing,11,0,0,1
Friday,31-50,Male,Unknown,Unknown,Unknown,Public (13?45 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,Driving carelessly,17,0,1,0
Tuesday,Under 18,Male,Unknown,Unknown,Unknown,Lorry (41?100Q),Owner,Below 1yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,No distancing,9,0,1,0
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Unknown,Unknown,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Unknown,Unknown or other,Changing lane to the right,12,0,0,0
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Unknown,Not a Pedestrian,Improper parking,16,0,0,0
Sunday,31-50,Male,Junior high school,Unknown,5-10yr,Motorcycle,Governmental,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Unknown,2,1,Going straight,Not a Pedestrian,Changing lane to the left,11,0,0,1
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Overtaking,15,0,0,0
Wednesday,31-50,Male,High school,Employee,2-5yr,Unknown,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,11,0,0,0
Friday,31-50,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,5-10yrs,7,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Crossing from driver's nearside,No priority to pedestrian,13,0,0,0
Monday,18-30,Male,High school,Owner,2-5yr,Public (> 45 seats),Owner,2-5yrs,Unknown,Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Overtaking,Not a Pedestrian,Driving carelessly,9,0,1,0
Friday,31-50,Male,Elementary school,Employee,2-5yr,Other,Owner,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,10,0,0,0
Thursday,31-50,Male,Unknown,Owner,Unknown,Lorry (41?100Q),Owner,1-2yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Not a Pedestrian,No priority to pedestrian,8,0,1,0
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,Not a Pedestrian,No distancing,21,1,0,0
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Driving carelessly,0,1,0,1
Wednesday,31-50,Male,Elementary school,Owner,1-2yr,Other,Owner,2-5yrs,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,9,0,1,0
Friday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,1-2yr,Unknown,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,Getting off the vehicle improperly,11,0,0,0
Saturday,31-50,Male,Unknown,Employee,Above 10yr,Unknown,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Unknown or other,Changing lane to the right,18,0,1,1
Friday,31-50,Male,Unknown,Unknown,Unknown,Public (13?45 seats),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,11,0,0,0
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Unknown,Unknown,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No distancing,15,0,0,0
Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Outside rural areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,No distancing,19,0,1,0
Monday,Unknown,Male,Junior high school,Owner,5-10yr,Lorry (11?40Q),Owner,Unknown,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Unknown,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No distancing,7,0,1,0
Sunday,18-30,Male,High school,Employee,1-2yr,Ridden horse,Unknown,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Turnover,Not a Pedestrian,Other,2,1,0,1
Wednesday,Over 51,Male,Above high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,10,0,0,0
Monday,Unknown,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,15,0,0,0
Saturday,Unknown,Female,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Not a Pedestrian,Changing lane to the right,22,1,0,1
Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Long lorry,Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Driving carelessly,12,0,0,1
Friday,31-50,Male,Unknown,Other,Unknown,Pick up upto 10Q,Owner,1-2yr,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,Not a Pedestrian,Changing lane to the right,9,0,1,0
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Above 10yr,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,No distancing,15,0,0,0
Sunday,Unknown,Female,Junior high school,Employee,1-2yr,Unknown,Governmental,1-2yr,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Not a Pedestrian,Overturning,16,0,0,1
Wednesday,Under 18,Male,High school,Owner,5-10yr,Bajaj,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Driving carelessly,17,0,1,0
Monday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,16,0,0,0
Sunday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Below 1yr,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,4,Going straight,Not a Pedestrian,No distancing,1,1,0,1
Saturday,18-30,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No distancing,13,0,0,1
Monday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Unknown,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,17,0,1,0
